# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  136       5.135315925911e-10       1.469138588721e-13      -5.702029203505e-12       0.000000000000e+00       4.688072670218e-12       7.915474453457e-13      -4.935287874953e-15 
  137       5.180457668106e-10       1.471225862644e-13      -5.745716064000e-12       0.000000000000e+00       4.592376476247e-12       7.789589886654e-13      -4.869545627808e-15 
  138       5.225530143235e-10       1.472660837648e-13      -5.786930473797e-12       0.000000000000e+00       4.499332927986e-12       7.666706452837e-13      -4.804999526239e-15 
  139       5.270520136585e-10       1.473443259798e-13      -5.825613310498e-12       0.000000000000e+00       4.408838260843e-12       7.546684884910e-13      -4.741398701732e-15 
  140       5.315413727705e-10       1.473573667720e-13      -5.861706370573e-12       0.000000000000e+00       4.320772689885e-12       7.429365011667e-13      -4.678471543743e-15 
  141       5.360196274833e-10       1.473053409445e-13      -5.895152407122e-12       0.000000000000e+00       4.235000046045e-12       7.314565281445e-13      -4.615925276755e-15 
  142       5.404852399312e-10       1.471884659240e-13      -5.925895167640e-12       0.000000000000e+00       4.151367412337e-12       7.202082285778e-13      -4.553445537317e-15 
  143       5.449365970011e-10       1.470070434444e-13      -5.953879431786e-12       0.000000000000e+00       4.069704760066e-12       7.091690283042e-13      -4.490695951094e-15 
  144       5.493721398212e-10       1.467614715517e-13      -5.979051382388e-12       0.000000000000e+00       3.989860599133e-12       6.983190090353e-13      -4.427387886166e-15 
  145       5.537907699017e-10       1.464522783991e-13      -6.001359679971e-12       0.000000000000e+00       3.911813658102e-12       6.876562197287e-13      -4.363498356181e-15 
  146       5.581914802593e-10       1.460800949991e-13      -6.020754566450e-12       0.000000000000e+00       3.835571574001e-12       6.771827911881e-13      -4.299072895526e-15 
  147       5.625732271681e-10       1.456456469298e-13      -6.037187580724e-12       0.000000000000e+00       3.761135711464e-12       6.669001156916e-13      -4.234157292613e-15 
  148       5.669349293552e-10       1.451497560766e-13      -6.050611598354e-12       0.000000000000e+00       3.688501005918e-12       6.568088277299e-13      -4.168797570238e-15 
  149       5.712754671960e-10       1.445933423760e-13      -6.060980871251e-12       0.000000000000e+00       3.617655806769e-12       6.469087847438e-13      -4.103039965939e-15 
  150       5.755936819090e-10       1.439774255581e-13      -6.068251067347e-12       0.000000000000e+00       3.548581720595e-12       6.371990478619e-13      -4.036930912355e-15 
  151       5.798883747519e-10       1.433031268896e-13      -6.072379310283e-12       0.000000000000e+00       3.481253454336e-12       6.276778626387e-13      -3.970517017585e-15 
  152       5.841583062161e-10       1.425716709162e-13      -6.073324219084e-12       0.000000000000e+00       3.415638658476e-12       6.183426397916e-13      -3.903845045547e-15 
  153       5.884021952221e-10       1.417843872064e-13      -6.071045947842e-12       0.000000000000e+00       3.351697770239e-12       6.091899359393e-13      -3.836961896338e-15 
  154       5.926187183153e-10       1.409427120936e-13      -6.065506225395e-12       0.000000000000e+00       3.289383856776e-12       6.002154343390e-13      -3.769914586591e-15 
  155       5.968065088603e-10       1.400481904192e-13      -6.056668395010e-12       0.000000000000e+00       3.228642458354e-12       5.914139256245e-13      -3.702750229836e-15 
  156       6.009641562372e-10       1.391024772755e-13      -6.044497454060e-12       0.000000000000e+00       3.169411431541e-12       5.827792885435e-13      -3.635516016855e-15 
  157       6.050902050360e-10       1.381073397489e-13      -6.028960093704e-12       0.000000000000e+00       3.111620792402e-12       5.743044706959e-13      -3.568259196046e-15 
  158       6.091831542524e-10       1.370646586620e-13      -6.010024738572e-12       0.000000000000e+00       3.055192559683e-12       5.659814692707e-13      -3.501027053780e-15 
  159       6.132414564828e-10       1.359764303172e-13      -5.987661586440e-12       0.000000000000e+00       3.000040598002e-12       5.578013117844e-13      -3.433866894757e-15 
  160       6.172635171196e-10       1.348447682395e-13      -5.961842647912e-12       0.000000000000e+00       2.946070461038e-12       5.497540368184e-13      -3.366826022369e-15 
  161       6.212478053959e-10       1.336718565353e-13      -5.932541672121e-12       0.000000000000e+00       2.893198743846e-12       5.418310144824e-13      -3.299949947911e-15 
  162       6.251932002448e-10       1.324598016767e-13      -5.899733833126e-12       0.000000000000e+00       2.841413392241e-12       5.340321788483e-13      -3.233276881484e-15 
  163       6.290986736293e-10       1.312107708802e-13      -5.863396091485e-12       0.000000000000e+00       2.790718451869e-12       5.263594012639e-13      -3.166842714100e-15 
  164       6.329631811568e-10       1.299270408198e-13      -5.823507344592e-12       0.000000000000e+00       2.741114972244e-12       5.188141997212e-13      -3.100682717448e-15 
  165       6.367856617881e-10       1.286109991470e-13      -5.780048465827e-12       0.000000000000e+00       2.692600939696e-12       5.113977303596e-13      -3.034831516100e-15 
  166       6.405650375478e-10       1.272651460113e-13      -5.733002343716e-12       0.000000000000e+00       2.645171210313e-12       5.041107789675e-13      -2.969323059722e-15 
