# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       4.730889714182e-10       1.426519625190e-13      -5.198168478083e-12       6.976087029777e-16       5.678427535851e-12       9.196782658836e-13      -5.612226052399e-15 
  128       4.776118577443e-10       1.434435523036e-13      -5.260935995281e-12       7.091692798374e-16       5.556590625697e-12       9.040782738994e-13      -5.527881425273e-15 
  129       4.821366592927e-10       1.441737872587e-13      -5.321793763996e-12       7.208470434107e-16       5.437740131744e-12       8.888226790908e-13      -5.445888215479e-15 
  130       4.866624554355e-10       1.448419757008e-13      -5.380674985502e-12       7.326429213916e-16       5.321839322497e-12       8.739090726473e-13      -5.366402140836e-15 
  131       4.911884298916e-10       1.454475337507e-13      -5.437514769532e-12       7.445578720885e-16       5.208899499725e-12       8.593385362921e-13      -5.289323042723e-15 
  132       4.957137083372e-10       1.459899437298e-13      -5.492248855641e-12       7.565928703160e-16       5.098918855158e-12       8.451104424160e-13      -5.214533404121e-15 
  133       5.002373568503e-10       1.464687558493e-13      -5.544813651175e-12       7.687489075248e-16       4.991882106707e-12       8.312224064431e-13      -5.141897926653e-15 
  134       5.047583803539e-10       1.468835898980e-13      -5.595146269254e-12       7.810269919317e-16       4.887760134666e-12       8.176702391953e-13      -5.071263107634e-15 
  135       5.092757210599e-10       1.472341369309e-13      -5.643184566746e-12       7.934281486488e-16       4.786509617934e-12       8.044478992582e-13      -5.002456817120e-15 
  136       5.137882569131e-10       1.475201609579e-13      -5.688867182250e-12       8.059534198135e-16       4.688072670218e-12       7.915474453457e-13      -4.935287874953e-15 
  137       5.182948000346e-10       1.477415006317e-13      -5.732133574067e-12       8.186038647184e-16       4.592376476247e-12       7.789589886654e-13      -4.869545627808e-15 
  138       5.227940951658e-10       1.478980709366e-13      -5.772924058184e-12       8.313805599405e-16       4.499332927986e-12       7.666706452837e-13      -4.804999526239e-15 
  139       5.272848181119e-10       1.479898648769e-13      -5.811179846247e-12       8.442845994713e-16       4.408838260843e-12       7.546684884910e-13      -4.741398701732e-15 
  140       5.317655741858e-10       1.480169551650e-13      -5.846843083541e-12       8.573170948466e-16       4.320772689885e-12       7.429365011667e-13      -4.678471543743e-15 
  141       5.362348966520e-10       1.479794959101e-13      -5.879856886970e-12       8.704791752759e-16       4.235000046045e-12       7.314565281445e-13      -4.615925276755e-15 
  142       5.406912451699e-10       1.478777243067e-13      -5.910165383028e-12       8.837719877723e-16       4.151367412337e-12       7.202082285778e-13      -4.553445537317e-15 
  143       5.451330042382e-10       1.477119623226e-13      -5.937713745784e-12       8.971966972820e-16       4.069704760066e-12       7.091690283042e-13      -4.490695951094e-15 
  144       5.495586131192e-10       1.474826275398e-13      -5.962448557411e-12       9.107543695383e-16       3.989860599133e-12       6.983190090353e-13      -4.427387886166e-15 
  145       5.539669733370e-10       1.471902633149e-13      -5.984318849671e-12       9.244456063313e-16       3.911813658102e-12       6.876562197287e-13      -4.363498356181e-15 
  146       5.583570785819e-10       1.468355148155e-13      -6.003275237779e-12       9.382708743598e-16       3.835571574001e-12       6.771827911881e-13      -4.299072895526e-15 
  147       5.627278860432e-10       1.464191218608e-13      -6.019269646548e-12       9.522306187391e-16       3.761135711464e-12       6.669001156916e-13      -4.234157292613e-15 
  148       5.670783156087e-10       1.459419206624e-13      -6.032255350217e-12       9.663252624564e-16       3.688501005918e-12       6.568088277299e-13      -4.168797570238e-15 
  149       5.714072490638e-10       1.454048455652e-13      -6.042187012287e-12       9.805552058270e-16       3.617655806769e-12       6.469087847438e-13      -4.103039965939e-15 
  150       5.757135292910e-10       1.448089307890e-13      -6.049020725347e-12       9.949208259498e-16       3.548581720595e-12       6.371990478619e-13      -4.036930912355e-15 
  151       5.799959594693e-10       1.441553121690e-13      -6.052714050913e-12       1.009422476163e-15       3.481253454336e-12       6.276778626387e-13      -3.970517017585e-15 
  152       5.842533022738e-10       1.434452288968e-13      -6.053226059251e-12       1.024060485500e-15       3.415638658476e-12       6.183426397916e-13      -3.903845045547e-15 
  153       5.884842790745e-10       1.426800252619e-13      -6.050517369214e-12       1.038835158144e-15       3.351697770239e-12       6.091899359393e-13      -3.836961896338e-15 
  154       5.926875691364e-10       1.418611523919e-13      -6.044550188073e-12       1.053746772886e-15       3.289383856776e-12       6.002154343390e-13      -3.769914586591e-15 
  155       5.968618088185e-10       1.409901699946e-13      -6.035288351347e-12       1.068795582579e-15       3.228642458354e-12       5.914139256245e-13      -3.702750229836e-15 
  156       6.010055907730e-10       1.400687480978e-13      -6.022697362634e-12       1.083981813592e-15       3.169411431541e-12       5.827792885435e-13      -3.635516016855e-15 
  157       6.051174631453e-10       1.390986687914e-13      -6.006744433446e-12       1.099305665270e-15       3.111620792402e-12       5.743044706959e-13      -3.568259196046e-15 
  158       6.091959287727e-10       1.380818279677e-13      -5.987398523036e-12       1.114767309387e-15       3.055192559683e-12       5.659814692707e-13      -3.501027053780e-15 
  159       6.132394443842e-10       1.370202370625e-13      -5.964630378232e-12       1.130366889600e-15       3.000040598002e-12       5.578013117844e-13      -3.433866894757e-15 
  160       6.172464197999e-10       1.359160247967e-13      -5.938412573270e-12       1.146104520909e-15       2.946070461038e-12       5.497540368184e-13      -3.366826022369e-15 
  161       6.212153287024e-10       1.347713895859e-13      -5.908719418029e-12       1.161980299739e-15       2.893198743846e-12       5.418310144824e-13      -3.299949947911e-15 
  162       6.251450536409e-10       1.335884483884e-13      -5.875526590018e-12       1.177994336345e-15       2.841413392241e-12       5.340321788483e-13      -3.233276881484e-15 
  163       6.290345701489e-10       1.323693777559e-13      -5.838811545820e-12       1.194146724247e-15       2.790718451869e-12       5.263594012639e-13      -3.166842714100e-15 
  164       6.328828376308e-10       1.311164634638e-13      -5.798553688669e-12       1.210437529367e-15       2.741114972244e-12       5.188141997212e-13      -3.100682717448e-15 
  165       6.366887990747e-10       1.298321020255e-13      -5.754734407678e-12       1.226866789530e-15       2.692600939696e-12       5.113977303596e-13      -3.034831516100e-15 
